Car_Name,Year,Selling_Price_Lakhs,Present_Price_Lakhs,Kms_Driven_KM,Fuel_Type,Seller_Type,Transmission,Owner,Car_Age,Depreciation_Percentage
Ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,0,10,40.07
Sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,0,11,50.21
Ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,0,7,26.4
Wagon R,2011,2.85,4.15,5200,Petrol,Dealer,Manual,0,13,31.33
Swift,2014,4.6,6.87,42450,Diesel,Dealer,Manual,0,10,33.04
Vitara Brezza,2018,9.25,9.83,2071,Diesel,Dealer,Manual,0,6,5.9
S Cross,2015,6.5,8.61,33429,Diesel,Dealer,Manual,0,9,24.51
Alto 800,2017,2.85,3.6,2135,Petrol,Dealer,Manual,0,7,20.83
Ertiga,2015,6.1,7.71,26000,Petrol,Dealer,Manual,0,9,20.88
Dzire,2009,2.25,7.21,77427,Petrol,Dealer,Manual,0,15,68.79
Alto K10,2016,2.85,3.95,25000,Petrol,Dealer,Manual,0,8,27.85
Ignis,2017,4.9,5.71,2400,Petrol,Dealer,Manual,0,7,14.19
800,2003,0.35,2.28,127000,Petrol,Individual,Manual,0,21,84.65
Baleno,2016,5.85,7.87,24524,Petrol,Dealer,Automatic,0,8,25.67
Omni,2012,1.25,2.69,50000,Petrol,Dealer,Manual,0,12,53.53
Fortuner,2012,14.9,30.61,104707,Diesel,Dealer,Automatic,0,12,51.32
Innova,2017,18,19.77,15000,Diesel,Dealer,Automatic,0,7,8.95
Corolla Altis,2009,3.6,15.04,70000,Petrol,Dealer,Automatic,0,15,76.06
Etios Cross,2015,4.5,7.27,40534,Petrol,Dealer,Manual,0,9,38.1
Etios G,2014,4.1,6.8,39485,Petrol,Dealer,Manual,1,10,39.71
Etios Liva,2014,4.75,6.95,45000,Diesel,Dealer,Manual,0,10,31.65
Corolla,2004,1.5,12.35,135154,Petrol,Dealer,Automatic,0,20,87.85
Etios Gd,2015,4.75,7.85,40000,Diesel,Dealer,Manual,0,9,39.49
Camry,2006,2.5,23.73,142000,Petrol,Individual,Automatic,3,18,89.46
Land Cruiser,2010,35,92.6,78000,Diesel,Dealer,Manual,0,14,62.2
Royal Enfield Thunder 500,2016,1.75,1.9,3000,Petrol,Individual,Manual,0,8,7.89
Um Renegade Mojave,2017,1.7,1.82,1400,Petrol,Individual,Manual,0,7,6.59
Ktm Rc200,2017,1.65,1.78,4000,Petrol,Individual,Manual,0,7,7.3
Bajaj Dominar 400,2017,1.45,1.6,1200,Petrol,Individual,Manual,0,7,9.38
Royal Enfield Classic 350,2017,1.35,1.47,4100,Petrol,Individual,Manual,0,7,8.16
